cluster_id,cluster_rep,index_intruder_in_df,title_intruder,community_intruder,intruder_rank,in_test_intruder_location,index_0,sentence_0_text,index_1,sentence_1_text,index_2,sentence_2_text,index_3,sentence_3_text,index_4,sentence_4_text,index_5,sentence_5_text,index_6,sentence_6_text,index_7,sentence_7_text,index_8,sentence_8_text,index_9,sentence_9_text
1,כתב האישום,1757,1. רשת האינטרנט- זירת פשע וירטואלית,-1,,0,1757,1. רשת האינטרנט- זירת פשע וירטואלית,1168,כתב האישום:,636,כתב האישום והמענה לו,2247,אישום שני- איומים,2586,2.     תחילת ההליכים ותשובת הנאשם לכתב האישום,871,אישום שלישי,437,אישום ראשון – המתלוננת י.,518,רקע כללי – כתב האישום,2782,האישומים,887,אישום עשרים
1,כתב האישום,435,הרשעה במספר מקרים,-1,,0,435,הרשעה במספר מקרים,2177,2. מענה ההגנה לכתב האישום,2987,5.	התשובה לכתב האישום וגרסת הנאשם,2816,האישומים בכתב האישום המתוקן בשנית,343,התשובה לאישום,2897,הנטען בכתב האישום,2630,כתב האישום,519,העבירות בהן מואשם הנאשם,1202,כתב האישום,2049,באישום השני
2,עדויות התביעה,233,עדות האם,2,3.0,3,1852,עדות אמיל לוי:,922,"	ע""ת/3 - הגברת נחמה זמיר - המתלוננת",630,עדות המתלוננת:,233,עדות האם,1504,מצבה הנפשי של המתלוננת,3114,עדויותיהם של חבריה של המתלוננת,672,9.	אמינות גרסתה של הקטינה,1739,"אין לנו ספק בדבר התרחשותם של ארועים קשים"".",1216,עדותו של י.:,948,טכניקת החקירה של חוקרי הילדים
7,יסוד העבירה,1887,6.	דיון:,6,1.0,7,2028,נסיון לאונס:,1525,הספק הסביר,159,האם נגיעה בישבן היא מעשה מגונה,1762,5. 	מחדלי חקירה,1687,מן הכלל אל הפרט,2191,האישום במעשה סדום,1280,המישור הנורמטיבי,1887,6.	דיון:,104,עבירת מעשה מגונה:,1989,(7)	ביצוע עבירת מין בו
6,סיכום,2340,עדות המתלוננת.,2,3.0,3,2071,סיכום,1253,לסיום,308,החלטה,2340,עדות המתלוננת.,3221,העימות,167,ההליך,239,התוצאה,1197,כללי:,1686,דיון,926,6.	דיון ומסקנות:
2,עדויות התביעה,2813,סוף דבר:,8,8.0,8,1343,ידיעתה של הנאשמת,2012,2.	תלונה מיידית של המתלוננת במשטרה,700,8. עדות סעדיה (סדי) שוקרון,116,"ד""ר יהלום",2721,"	מצבה הנפשי של ח', מודעות הנאשם לכך ושליטתו בח'",2528,עדותו של אילן,1240,הסבר הנאשם לכך שהמתלוננת הצביע עליו כעבריין,1874,3.	האם היה ניסיון לסחוט את הנאשם באיומים,2813,סוף דבר:,318,עדות המתלוננת
4,ראיות התביעה,2430,אישום ראשון,-1,,4,3279,פרשת ראיות ההגנה:,1884,3.	ראיות ההגנה:,2444,פרשת ההגנה:,735,פרשת ההגנה:,2430,אישום ראשון,589,הראיות,669,"6.	טענות ב""כ הנאשם  לענין התשתית הראייתית. ",818,תמצית סיכומי המאשימה,2422,4.	החיזוקים לעדות המתלוננת:,2199,מהימנות יתר עדי ההגנה
1,כתב האישום,1997,פרשת התביעה:,4,2.0,4,1625,7.	אישום שלישי,2038,אשר לעידית (אישום מס' 2):,1151,תשובת הנאשמים:,2825,אישום עשירי,1997,פרשת התביעה:,2050,תגובת הנאשם לאישומים,2063,עובדות כתב האישום:,2361,כתב האישום,2824,אישום שמיני,271,כך באישום הראשון
3,עדות הנאשם,376,מבוא,6,1.0,4,3107,עדות הנאשם,1522,הנאשם -  גרסתו,1834,עדות הנאשם,1243,סיכום מערך הראיות והערכתו,376,מבוא,1904,מהימנות גרסאות הצדדים:,2458,עדות הנאשם,576,גירסת הנאשם,540,גרסת הנאשם,2436,עדות הנאשם
7,יסוד העבירה,2657,האם הופרו תנאי מעצר הבית - הכרעה,-1,,7,2580,דרישת הסיוע להרשעה באישום השני:,1387,הטרדה מינית:,2208,העבירה של החזקת סכין  למטרה לא כשרה,2072,העבירות המתגבשות במעשי הנאשם:,2209,העבירה של מעשה מגונה,1250,האם יחסי המין בוצעו בהסכמה,2447,תקופת ההטרדה:,2657,האם הופרו תנאי מעצר הבית - הכרעה,1733,"""מעשה מגונה""",3260,עבירת האיומים והדחה בחקירה
3,עדות הנאשם,1599,טענת הגנה: בעיות נפשיות של הנאשם,7,4.0,4,1154,דיון והערכת הראיות:,3108,הערכת עדות הנאשם,3270,עדות הנאשם,256,הנאשם לעונש:,1599,טענת הגנה: בעיות נפשיות של הנאשם,2751,התובעת:,2234,עדות הנאשם,1763,אי תיעוד חקירותיו של הנאשם,3269,עדות המתלוננת ועדויות התומכות בה,2343,גירסת הנאשם באימרתו במשטרה (ת/1).
2,עדויות התביעה,2862,עדויות הגנה נוספות,-1,,0,2862,עדויות הגנה נוספות,1339,מצבה הנפשי של מ',631,עדות אלעד סמדג'ה:,2145,"עדות הקטינה, המתלוננת (באמצעות חוקרת הילדים)",1595,חיזוק 1 - הערכת מהימנות של חוקרת הילדים  ועדותה בפני,2502,חיזוקים לגירסת המתלוננת:,1372,הערכת עדותו של רוסלן,1203,עדות המתלוננת,1593,המניע – אופניים?,543,אישום ששי – המתלוננת א.ב.ד.
1,כתב האישום,1016,העדות של ----,-1,,7,272,באשר לאישום השני,2819,אישום שלישי,694,2. תשובת הנאשם לכתב האישום,3183,אישום ראשון,1011,תשובת הנאשם לכתב האישום,1285,תשובת הנאשם לכתב האישום:,2296,תמצית כתב האישום,1016,העדות של ----,3122,עובדות כתב האישום:,3052,אישום 1
1,כתב האישום,1949,התוצאה,6,1.0,6,88,מבוא רקע ופרטי האישום,2311,כתב האישום,896,אישום שלושים,2833,אישום תשעה עשר,1692,תשובת הנאשמים לכתב האישום,903,אישום שלושים ושבעה,1949,התוצאה,2828,אישום שלושה עשר,1682,העבירות,2322,אישום שני
2,עדויות התביעה,3152,האם הילדה זיהתה את הנאשם,2,3.0,7,1555,2) גרסת המתלונת ח.ס.,2285,מהימנות המתלוננת,1340,מעשיו של הנאשם בב',3202,האירועים בזמן ההיריון השלישי,1371,הערכת עדותו של ולרי,2031,הנסיבות שהובילו למפגש בין המתלוננת לנאשם,949,האישום לגבי הקטינה ד',3152,האם הילדה זיהתה את הנאשם,702,10. עדות עד ההגנה -  שמעון אבוטבול,1317,מצבה הנפשי של המתלוננת:
8,סוף דבר,3269,עדות המתלוננת ועדויות התומכות בה,3,6.0,8,2673,סוף דבר,2813,סוף דבר:,1880,סוף דבר,1849,סוף דבר,1128,סוף דבר,730,סוף דבר,2792,סוף דבר,1535,סוף דבר,3269,עדות המתלוננת ועדויות התומכות בה,938,סוף דבר
0,הכרעת דין,184,2. תמצית ראיות הצדדים,-1,,8,1209,הכרעת דין,2439,הכרעת דין,3141,הכרעת דין,3230,הכרעת דין,1891,הכרעת דין,2347,הכרעת דין,1220,הכרעת דין,2061,הכרעת דין,184,2. תמצית ראיות הצדדים,2604,הכרעת דין
5,עדויות מטעם ההגנה,2299,פרשת המאשימה,4,2.0,1,253,טיעונים לעונש,2299,פרשת המאשימה,1780,טיעוני ההגנה,1698,יש להרשיע את זאב בעבירה של כליאת שווא,391,המסגרת הדיונית:,2710,ראיות ההגנה,1297,בחינת עדות הזיהוי,1951,4.	עיקרי ראיות המאשימה,2389,ראיות ההגנה,2163,5.	פרשת ההגנה
4,ראיות התביעה,2878,אישומים חמישי ועשרים וארבעה,-1,,5,578,ניתוח העדויות,2599,התביעה הגישה את הראיות הבאות,1886,5.	סיכומי ההגנה:,1457,טענות הצדדים,2788,גרסת ההגנה,2878,אישומים חמישי ועשרים וארבעה,2244,סיכומי ההגנה,641,עדויות תביעה נוספות,3214,2.	גדר המחלוקת,2219,3.	ראיות תביעה
4,ראיות התביעה,1778,מעשה מגונה,-1,,3,2181,9. עדות הנאשם,1712,8.		הדיון,2068,עדי הגנה נוספים:,1778,מעשה מגונה,1198,פרשת התביעה:,2067,פרשת ההגנה:,746,ראיות המאשימה,1723,ראיות התביעה:,737,טענות הצדדים:,2600,פרשת ההגנה
2,עדויות התביעה,315,הכרעת דין,0,7.0,0,315,הכרעת דין,3176,עדותו של נ.מ.,1318,התהליך המנטאלי-קוגניטיבי אותו עברה המתלוננת עד הגשת התלונה:,1365,-  חשיפת סיפור האונס הקודם של המתלוננת בפני הנאשם.,640,עדות המתלוננת,1226,"7.	עד התביעה- רס""ל יוסי שלם",1594,מהימנותו של א',747,עדות הפסיכולוגית אסתר אללוף,415,גירסת המתלוננת,1114,"עדותו של רפ""ק אהרון גלאור (להלן: ""גלאור""):"
3,עדות הנאשם,1485,החלטה,6,1.0,2,41,מהימנות הנאשם:,2618,התובע:,1485,החלטה,2967,"
גרסאות הנאשם ופרשת ההגנה",1691,הנאשם:,1082,טיעוני הנאשם:,3136,זיהוי הנאשם,1923,6.	הערכת עדות המתלוננת ועדות הנאשם,564,התרשמות כללית מעדות המתלוננת –,3192,גירסת הנאשם
6,סיכום,2751,התובעת:,3,6.0,2,2731,10.	סיכום,103,הדיון המשפטי:,2751,התובעת:,583,מבוא,1940,החלטה,1288,דיון:,307,סיכום,1190,דיון ומסקנות:,1727,הרקע,983,לסיום
6,סיכום,2041,עידית,6,1.0,6,2790,סיכום הראיות,1621,הסיוע,1843,דיון,2391,הכרעה:,740,לסיכום:,2691,דיון ומסקנות,2041,עידית,3129,דיון,752,מבוא,351,הסיוע
4,ראיות התביעה,1304,תגובת הנאשם לאישום,1,5.0,0,1304,תגובת הנאשם לאישום,1836,טענות הצדדים,2351,ראיות ההגנה:,1752,3. עדות האב,1773,הראיות,2690,טיעוני התביעה,2167,7.	יריעת המחלוקת,1005,ראיות ההגנה,2795,הראיות הרפואיות,260,פירוט ראיות החיזוק
5,עדויות מטעם ההגנה,1161,עדויות חיזוק מצד הנאשם - העדות בפנינו ואמרותיו במשטרה,3,6.0,3,2083,לאחר ההפסקה:,138,ראיות ההגנה,705,"עו""ד דייגי: זה לעניין האלכוהול. זה נכון שהיית במצב של שכרות מוחלטת? ",1161,עדויות חיזוק מצד הנאשם - העדות בפנינו ואמרותיו במשטרה,24,פרשת ההגנה,1507,קביעות עובדתיות הנוגעות לטענות שהועלו על ידי הנאשם,2207,העבירות המיוחסות לנאשם:,826,נתונים אובייקטיביים העומדים בסתירה לזיהוי,3077,"ניתוח הראיות, קביעת ממצאים והכרעה",2569,עדויות מטעם ההגנה:
8,סוף דבר,688,סיום ההליך בלא הרשעה - הכלל,7,4.0,3,3112,סוף דבר,2214,סוף דבר:,2742,סוף דבר,688,סיום ההליך בלא הרשעה - הכלל,1619,סוף דבר:,805,סוף דבר,1359,סוף דבר,2963,סוף דבר,3158,סוף דבר,1680,סוף דבר
4,ראיות התביעה,396,סיכום,6,1.0,2,2270,עדים נוספים מטעם המאשימה,633,סיכום עד כאן – עדויות התביעה:,396,סיכום,1170,גדר המחלוקת לאחר סיום שמיעת הראיות והגשת הסיכומים:,1538,ראיות ההגנה,2745,ב. העובדות שאינן במחלוקת,1922,5.	הפירכות בעדות המתלוננת.,1883,2.	ראיות המאשימה:,2676,טענות הנאשמת,652,סיכום הממצאים העובדתיים
4,ראיות התביעה,1566,תמצית הכרעת הדין  (טרם הנמקה מפורטת),4,2.0,3,1862,6.	סיכומי המאשימה,303,ראיות התביעה,2587,3.     תיקון עמדת התביעה,1566,תמצית הכרעת הדין  (טרם הנמקה מפורטת),773,ניתוח הראיות,557,2. הראיות:,1863,7.	סיכומי ההגנה,2259,עדי ההגנה הנוספים,2623,ראיות ההגנה,1962,5.   ראיות הנאשם
1,כתב האישום,180,מן הכלל אל הפרט,-1,,6,517,איסור פרסום,1749,תגובת הנאשם לכתב האישום ותיחום יריעת המחלוקת,714," א. האישום, פלוגתאות, מוסכמות ורקע:",1942,כתב האישום,2818,אישום שני,2477,העובדות לפי כתב האישום,180,מן הכלל אל הפרט,3297,כתב האישום,2834,אישום עשרים,3276,תמצית עובדות כתב האישום:
4,ראיות התביעה,2859,גרסת הנאשם בנוגע לאישום השמונה עשר,3,6.0,7,1672,ראיות התביעה,1751,2. עדות המתלוננת,1565,עדים וראיות,2760,9.	טענת העלילה,2776,ראיות ההגנה:,2242,ראיות ההגנה,2204,זירת המחלוקת וסיכומי הצדדים,2859,גרסת הנאשם בנוגע לאישום השמונה עשר,2220,4.	ראיות הגנה,551,ראיות ההגנה
3,עדות הנאשם,1122,מבוא,-1,,9,2735,גירסת הנאשם,565,8.	עדות הנאשם,647,התנהגות הנאשם בעת שהגיעו השוטרים למקום,1654,חקירת הנאשם,494,הערכת העדויות וטענות הצדדים,265,העדויות מטעם הנאשם,2472,חיזוקים חיצוניים לעדות המתלוננת:,3023,גרסת הנאשם,1455,גרסת הנאשם,1122,מבוא
